category,institution,city,state,type
HSI,Seminole State College of Florida,Sanford,FL,Public 4yr
HBCU,Shaw University,Raleigh,NC,Private 4yr
HBCU,Simmons College of Kentucky,Louisville,KY,Private 4yr
HSI,Simpson University,Redding,CA,Private 4yr
TCU,Sinte Gleska University,Mission,SD,Public 4yr
TCU,Sitting Bull College,Fort Yates,ND,Public 4yr
AANAPISI & HSI,Solano Community College,Fairfield,CA,Public 4yr
HSI,Sonoma State University,Rohnert Park,CA,Public 4yr
HBCU,South Carolina State University,Orangeburg,SC,Public 4yr
HSI,South Florida State College,Avon Park,FL,Public 4yr
AANAPISI,South Seattle College,Seattle,WA,Public 4yr
HSI,South Texas College,McAllen,TX,Public 4yr
NASNTI,Southeastern Oklahoma State University,Durant,OK,Public 4yr
AANAPISI & HSI,Southern Adventist University,Collegedale,TN,Private 4yr
HSI,Southern California Seminary,El Cajon,CA,Private 4yr
HBCU,Southern University and A & M College,Baton Rouge,LA,Public 4yr
HBCU,Southern University at New Orleans,New Orleans,LA,Public 4yr
HSI,Southwestern Adventist University,Keene,TX,Private 4yr
HBCU,Southwestern Christian College,Terrell,TX,Private 4yr
HBCU,Spelman College,Atlanta,GA,Private 4yr
AANAPISI,St Catherine University,Saint Paul,MN,Private 4yr
HSI,St Francis College,Brooklyn Heights,NY,Private 4yr
AANAPISI,St. John's University-New York,Queens,NY,Private 4yr
HSI,St. Mary's University,San Antonio,TX,Private 4yr
HSI,St. Thomas University,Miami Gardens,FL,Private 4yr
HSI,Stevens-Henager College,Murray,UT,Private 4yr
HBCU,Stillman College,Tuscaloosa,AL,Private 4yr
TCU,Stone Child College,Box Elder,MT,Public 4yr
HSI,Sul Ross State University,Alpine,TX,Public 4yr
AANAPISI & HSI,SUM Bible College and Theological Seminary,El Dorado Hills,CA,Private 4yr
HSI,SUNY at Purchase College,Purchase,NY,Public 4yr
AANAPISI & HSI,SUNY College at Old Westbury,Old Westbury,NY,Public 4yr
HBCU,Talladega College,Talladega,AL,Private 4yr
HBCU,Tennessee State University,Nashville,TN,Public 4yr
HSI,Texas A & M International University,Laredo,TX,Public 4yr
HSI,Texas A & M University-College Station,College Station,TX,Public 4yr
HSI,Texas A & M University-Corpus Christi,Corpus Christi,TX,Public 4yr
HSI,Texas A & M University-Kingsville,Kingsville,TX,Public 4yr
HSI,Texas A&M University-Central Texas,Killeen,TX,Public 4yr
HSI,Texas A&M University-San Antonio,San Antonio,TX,Public 4yr
HBCU,Texas College,Tyler,TX,Private 4yr
HSI,Texas Lutheran University,Seguin,TX,Private 4yr
HBCU,Texas Southern University,Houston,TX,Public 4yr
HSI,Texas State University,San Marcos,TX,Public 4yr
HSI,Texas Tech University,Lubbock,TX,Public 4yr
HSI,Texas Tech University Health Sciences Center,Lubbock,TX,Public 4yr
HSI,Texas Tech University Health Sciences Center-El Paso,El Paso,TX,Public 4yr
HSI,Texas Wesleyan University,Fort Worth,TX,Private 4yr
HSI,Texas Woman's University,Denton,TX,Public 4yr
HSI,The Chicago School of Professional Psychology at Chicago,Chicago,IL,Private 4yr
